 Loading checkpoint shards:   0%|                                                                                                                                                | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|████████████████████████████████████████████████████████████████████                                                                    | 1/2 [00:01<00:01,  1.47s/it] Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.32s/it] Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.34s/it]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
{"written": 379, "sample_id": "vlguard:PrivacyAlert_test_13:0:safe_instruction", "latency_ms": 13204.2, "peak_vram_gib": 8.445}
{"written": 380, "sample_id": "vlguard:PrivacyAlert_test_16:0:unsafe_image", "latency_ms": 15351.5, "peak_vram_gib": 8.452}
{"written": 381, "sample_id": "vlguard:PrivacyAlert_test_29:0:safe_instruction", "latency_ms": 12161.1, "peak_vram_gib": 8.464}
{"written": 382, "sample_id": "vlguard:PrivacyAlert_test_40:1:unsafe_instruction", "latency_ms": 12905.1, "peak_vram_gib": 8.426}
{"written": 383, "sample_id": "vlguard:PrivacyAlert_test_42:1:unsafe_instruction", "latency_ms": 12959.2, "peak_vram_gib": 8.447}
{"written": 384, "sample_id": "vlguard:PrivacyAlert_test_46:0:unsafe_image", "latency_ms": 11677.6, "peak_vram_gib": 8.415}
{"written": 385, "sample_id": "vlguard:PrivacyAlert_test_53:0:safe_instruction", "latency_ms": 14837.0, "peak_vram_gib": 8.443}
{"written": 386, "sample_id": "vlguard:PrivacyAlert_test_61:0:safe_instruction", "latency_ms": 13819.8, "peak_vram_gib": 8.427}
{"written": 387, "sample_id": "vlguard:PrivacyAlert_test_81:0:safe_instruction", "latency_ms": 13921.7, "peak_vram_gib": 8.445}
{"written": 388, "sample_id": "vlguard:PrivacyAlert_test_94:0:unsafe_image", "latency_ms": 11180.2, "peak_vram_gib": 8.412}
{"written": 389, "sample_id": "vlguard:PrivacyAlert_test_95:1:unsafe_instruction", "latency_ms": 23267.6, "peak_vram_gib": 8.521}
{"written": 390, "sample_id": "vlguard:PrivacyAlert_test_104:0:unsafe_image", "latency_ms": 19726.7, "peak_vram_gib": 8.491}
{"written": 391, "sample_id": "vlguard:PrivacyAlert_test_106:0:unsafe_image", "latency_ms": 11108.6, "peak_vram_gib": 8.452}
{"written": 392, "sample_id": "vlguard:PrivacyAlert_test_111:1:unsafe_instruction", "latency_ms": 41740.4, "peak_vram_gib": 8.638}
{"written": 393, "sample_id": "vlguard:PrivacyAlert_test_112:0:unsafe_image", "latency_ms": 16014.7, "peak_vram_gib": 8.471}
{"written": 394, "sample_id": "vlguard:PrivacyAlert_test_121:0:unsafe_image", "latency_ms": 18532.9, "peak_vram_gib": 8.487}
{"written": 395, "sample_id": "vlguard:PrivacyAlert_test_122:0:unsafe_image", "latency_ms": 11999.9, "peak_vram_gib": 8.441}
{"written": 396, "sample_id": "vlguard:PrivacyAlert_test_136:0:safe_instruction", "latency_ms": 14233.1, "peak_vram_gib": 8.454}
{"written": 397, "sample_id": "vlguard:PrivacyAlert_test_138:0:unsafe_image", "latency_ms": 18313.0, "peak_vram_gib": 8.487}
{"written": 398, "sample_id": "vlguard:PrivacyAlert_test_143:0:unsafe_image", "latency_ms": 17332.7, "peak_vram_gib": 8.469}
{"written": 399, "sample_id": "vlguard:PrivacyAlert_test_144:0:unsafe_image", "latency_ms": 13630.8, "peak_vram_gib": 8.447}
{"written": 400, "sample_id": "vlguard:PrivacyAlert_test_156:0:unsafe_image", "latency_ms": 10882.8, "peak_vram_gib": 8.428}
{"written": 401, "sample_id": "vlguard:PrivacyAlert_test_159:1:unsafe_instruction", "latency_ms": 16796.6, "peak_vram_gib": 8.496}
{"written": 402, "sample_id": "vlguard:PrivacyAlert_test_161:1:unsafe_instruction", "latency_ms": 13530.1, "peak_vram_gib": 8.445}
{"written": 403, "sample_id": "vlguard:PrivacyAlert_test_162:0:unsafe_image", "latency_ms": 15381.4, "peak_vram_gib": 8.463}
{"written": 404, "sample_id": "vlguard:PrivacyAlert_test_172:1:unsafe_instruction", "latency_ms": 13280.5, "peak_vram_gib": 8.464}
{"written": 405, "sample_id": "vlguard:PrivacyAlert_test_174:0:unsafe_image", "latency_ms": 10848.9, "peak_vram_gib": 8.431}
{"written": 406, "sample_id": "vlguard:PrivacyAlert_test_180:0:safe_instruction", "latency_ms": 14953.6, "peak_vram_gib": 8.461}
{"written": 407, "sample_id": "vlguard:PrivacyAlert_test_191:0:safe_instruction", "latency_ms": 11512.2, "peak_vram_gib": 8.428}
{"written": 408, "sample_id": "vlguard:PrivacyAlert_test_197:0:unsafe_image", "latency_ms": 15944.2, "peak_vram_gib": 8.463}
{"written": 409, "sample_id": "vlguard:PrivacyAlert_test_206:0:safe_instruction", "latency_ms": 15135.9, "peak_vram_gib": 8.462}
{"written": 410, "sample_id": "vlguard:PrivacyAlert_test_209:0:safe_instruction", "latency_ms": 13311.8, "peak_vram_gib": 8.44}
{"written": 411, "sample_id": "vlguard:PrivacyAlert_test_216:1:unsafe_instruction", "latency_ms": 41574.8, "peak_vram_gib": 8.651}
{"written": 412, "sample_id": "vlguard:PrivacyAlert_test_221:0:unsafe_image", "latency_ms": 11641.0, "peak_vram_gib": 8.428}
{"written": 413, "sample_id": "vlguard:PrivacyAlert_test_225:0:unsafe_image", "latency_ms": 11346.4, "peak_vram_gib": 8.428}
{"written": 414, "sample_id": "vlguard:PrivacyAlert_test_243:0:safe_instruction", "latency_ms": 12390.5, "peak_vram_gib": 8.434}
{"written": 415, "sample_id": "vlguard:PrivacyAlert_test_250:0:safe_instruction", "latency_ms": 10388.7, "peak_vram_gib": 8.416}
{"written": 416, "sample_id": "vlguard:PrivacyAlert_test_250:1:unsafe_instruction", "latency_ms": 41966.5, "peak_vram_gib": 8.636}
{"written": 417, "sample_id": "vlguard:PrivacyAlert_test_258:0:safe_instruction", "latency_ms": 14144.5, "peak_vram_gib": 8.445}
{"written": 418, "sample_id": "vlguard:PrivacyAlert_test_258:1:unsafe_instruction", "latency_ms": 17709.7, "peak_vram_gib": 8.47}
{"written": 419, "sample_id": "vlguard:PrivacyAlert_test_262:0:safe_instruction", "latency_ms": 17260.4, "peak_vram_gib": 8.47}
{"written": 420, "sample_id": "vlguard:PrivacyAlert_test_262:1:unsafe_instruction", "latency_ms": 10624.6, "peak_vram_gib": 8.428}
{"written": 421, "sample_id": "vlguard:PrivacyAlert_test_266:0:unsafe_image", "latency_ms": 17215.4, "peak_vram_gib": 8.467}
{"written": 422, "sample_id": "vlguard:PrivacyAlert_test_267:0:unsafe_image", "latency_ms": 41365.6, "peak_vram_gib": 8.651}
{"written": 423, "sample_id": "vlguard:PrivacyAlert_test_271:0:unsafe_image", "latency_ms": 13210.8, "peak_vram_gib": 8.448}
{"written": 424, "sample_id": "vlguard:PrivacyAlert_test_276:1:unsafe_instruction", "latency_ms": 13224.9, "peak_vram_gib": 8.472}
{"written": 425, "sample_id": "vlguard:PrivacyAlert_test_282:0:safe_instruction", "latency_ms": 11879.7, "peak_vram_gib": 8.429}
{"written": 426, "sample_id": "vlguard:PrivacyAlert_test_286:0:unsafe_image", "latency_ms": 13775.7, "peak_vram_gib": 8.44}
{"written": 427, "sample_id": "vlguard:PrivacyAlert_test_290:1:unsafe_instruction", "latency_ms": 41782.7, "peak_vram_gib": 8.638}
{"written": 428, "sample_id": "vlguard:PrivacyAlert_test_293:0:safe_instruction", "latency_ms": 16957.8, "peak_vram_gib": 8.463}
{"written": 429, "sample_id": "vlguard:PrivacyAlert_test_303:1:unsafe_instruction", "latency_ms": 11406.0, "peak_vram_gib": 8.428}
{"written": 430, "sample_id": "vlguard:PrivacyAlert_test_305:1:unsafe_instruction", "latency_ms": 11401.7, "peak_vram_gib": 8.454}
{"written": 431, "sample_id": "vlguard:PrivacyAlert_test_307:0:safe_instruction", "latency_ms": 12674.4, "peak_vram_gib": 8.43}
{"written": 432, "sample_id": "vlguard:PrivacyAlert_test_307:1:unsafe_instruction", "latency_ms": 11501.0, "peak_vram_gib": 8.428}
{"written": 433, "sample_id": "vlguard:PrivacyAlert_test_309:0:safe_instruction", "latency_ms": 11074.7, "peak_vram_gib": 8.428}
{"written": 434, "sample_id": "vlguard:PrivacyAlert_test_312:0:safe_instruction", "latency_ms": 11064.9, "peak_vram_gib": 8.429}
{"written": 435, "sample_id": "vlguard:PrivacyAlert_test_323:0:unsafe_image", "latency_ms": 12565.0, "peak_vram_gib": 8.431}
{"written": 436, "sample_id": "vlguard:PrivacyAlert_test_331:0:unsafe_image", "latency_ms": 13757.8, "peak_vram_gib": 8.445}
{"written": 437, "sample_id": "vlguard:PrivacyAlert_test_340:0:safe_instruction", "latency_ms": 12276.3, "peak_vram_gib": 8.433}
{"written": 438, "sample_id": "vlguard:PrivacyAlert_test_354:0:safe_instruction", "latency_ms": 10844.1, "peak_vram_gib": 8.432}
{"written": 439, "sample_id": "vlguard:PrivacyAlert_test_361:0:unsafe_image", "latency_ms": 19945.5, "peak_vram_gib": 8.475}
{"written": 440, "sample_id": "vlguard:PrivacyAlert_test_362:0:unsafe_image", "latency_ms": 14608.8, "peak_vram_gib": 8.481}
{"written": 441, "sample_id": "vlguard:PrivacyAlert_test_377:1:unsafe_instruction", "latency_ms": 13603.2, "peak_vram_gib": 8.445}
{"written": 442, "sample_id": "vlguard:PrivacyAlert_test_380:0:unsafe_image", "latency_ms": 41269.8, "peak_vram_gib": 8.641}
{"written": 443, "sample_id": "vlguard:PrivacyAlert_test_383:0:unsafe_image", "latency_ms": 15697.8, "peak_vram_gib": 8.447}
{"written": 444, "sample_id": "vlguard:PrivacyAlert_test_384:0:unsafe_image", "latency_ms": 15070.4, "peak_vram_gib": 8.449}
{"written": 445, "sample_id": "vlguard:PrivacyAlert_test_385:0:unsafe_image", "latency_ms": 12096.0, "peak_vram_gib": 8.43}
{"written": 446, "sample_id": "vlguard:PrivacyAlert_test_386:1:unsafe_instruction", "latency_ms": 13312.6, "peak_vram_gib": 8.445}
{"written": 447, "sample_id": "vlguard:PrivacyAlert_test_387:0:safe_instruction", "latency_ms": 14218.6, "peak_vram_gib": 8.446}
{"selected": 447, "skipped": 0, "written": 447}
Loading checkpoint shards:   0%|                                                                                                                                                | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|█████████████████████████████████████████████▎                                                                                          | 1/3 [00:01<00:02,  1.18s/it]Loading checkpoint shards:  67%|██████████████████████████████████████████████████████████████████████████████████████████▋                                             | 2/3 [00:02<00:01,  1.17s/it]Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:02<00:00,  1.35it/s]Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:02<00:00,  1.17it/s]
{"written": 1, "sample_id": "mm-safetybench:01-Illegal_Activitiy:5:SD", "latency_ms": 285.3, "peak_vram_gib": 7.652}
{"written": 2, "sample_id": "mm-safetybench:01-Illegal_Activitiy:5:SD_TYPO", "latency_ms": 278.5, "peak_vram_gib": 7.641}
{"written": 3, "sample_id": "mm-safetybench:01-Illegal_Activitiy:5:TYPO", "latency_ms": 282.4, "peak_vram_gib": 7.632}
{"written": 4, "sample_id": "mm-safetybench:01-Illegal_Activitiy:7:SD", "latency_ms": 306.4, "peak_vram_gib": 7.746}
{"written": 5, "sample_id": "mm-safetybench:01-Illegal_Activitiy:7:SD_TYPO", "latency_ms": 286.9, "peak_vram_gib": 7.68}
{"written": 6, "sample_id": "mm-safetybench:01-Illegal_Activitiy:7:TYPO", "latency_ms": 278.8, "peak_vram_gib": 7.64}
{"written": 7, "sample_id": "mm-safetybench:01-Illegal_Activitiy:32:SD", "latency_ms": 307.4, "peak_vram_gib": 7.76}
{"written": 8, "sample_id": "mm-safetybench:01-Illegal_Activitiy:32:SD_TYPO", "latency_ms": 307.8, "peak_vram_gib": 7.729}
{"written": 9, "sample_id": "mm-safetybench:01-Illegal_Activitiy:32:TYPO", "latency_ms": 288.9, "peak_vram_gib": 7.71}
{"written": 10, "sample_id": "mm-safetybench:01-Illegal_Activitiy:36:SD", "latency_ms": 281.5, "peak_vram_gib": 7.639}
{"written": 11, "sample_id": "mm-safetybench:01-Illegal_Activitiy:36:SD_TYPO", "latency_ms": 284.5, "peak_vram_gib": 7.639}
{"written": 12, "sample_id": "mm-safetybench:01-Illegal_Activitiy:36:TYPO", "latency_ms": 283.6, "peak_vram_gib": 7.65}
{"written": 13, "sample_id": "mm-safetybench:01-Illegal_Activitiy:39:SD", "latency_ms": 318.1, "peak_vram_gib": 7.776}
{"written": 14, "sample_id": "mm-safetybench:01-Illegal_Activitiy:39:SD_TYPO", "latency_ms": 284.9, "peak_vram_gib": 7.675}
{"written": 15, "sample_id": "mm-safetybench:01-Illegal_Activitiy:39:TYPO", "latency_ms": 284.8, "peak_vram_gib": 7.676}
{"written": 16, "sample_id": "mm-safetybench:01-Illegal_Activitiy:50:SD", "latency_ms": 281.8, "peak_vram_gib": 7.638}
{"written": 17, "sample_id": "mm-safetybench:01-Illegal_Activitiy:50:SD_TYPO", "latency_ms": 279.8, "peak_vram_gib": 7.639}
{"written": 18, "sample_id": "mm-safetybench:01-Illegal_Activitiy:50:TYPO", "latency_ms": 282.7, "peak_vram_gib": 7.644}
{"written": 19, "sample_id": "mm-safetybench:01-Illegal_Activitiy:61:SD", "latency_ms": 283.1, "peak_vram_gib": 7.643}
{"written": 20, "sample_id": "mm-safetybench:01-Illegal_Activitiy:61:SD_TYPO", "latency_ms": 284.6, "peak_vram_gib": 7.679}
{"written": 21, "sample_id": "mm-safetybench:01-Illegal_Activitiy:61:TYPO", "latency_ms": 280.8, "peak_vram_gib": 7.637}
{"written": 22, "sample_id": "mm-safetybench:01-Illegal_Activitiy:75:SD", "latency_ms": 285.3, "peak_vram_gib": 7.652}
{"written": 23, "sample_id": "mm-safetybench:01-Illegal_Activitiy:75:SD_TYPO", "latency_ms": 280.6, "peak_vram_gib": 7.64}
{"written": 24, "sample_id": "mm-safetybench:01-Illegal_Activitiy:75:TYPO", "latency_ms": 280.7, "peak_vram_gib": 7.64}
{"written": 25, "sample_id": "mm-safetybench:01-Illegal_Activitiy:88:SD", "latency_ms": 291.8, "peak_vram_gib": 7.717}
{"written": 26, "sample_id": "mm-safetybench:01-Illegal_Activitiy:88:SD_TYPO", "latency_ms": 281.8, "peak_vram_gib": 7.631}
{"written": 27, "sample_id": "mm-safetybench:01-Illegal_Activitiy:88:TYPO", "latency_ms": 280.7, "peak_vram_gib": 7.64}
{"written": 28, "sample_id": "mm-safetybench:01-Illegal_Activitiy:92:SD", "latency_ms": 310.0, "peak_vram_gib": 7.736}
{"written": 29, "sample_id": "mm-safetybench:01-Illegal_Activitiy:92:SD_TYPO", "latency_ms": 279.6, "peak_vram_gib": 7.637}
{"written": 30, "sample_id": "mm-safetybench:01-Illegal_Activitiy:92:TYPO", "latency_ms": 281.2, "peak_vram_gib": 7.631}
{"written": 31, "sample_id": "mm-safetybench:02-HateSpeech:4:SD", "latency_ms": 281.9, "peak_vram_gib": 7.637}
{"written": 32, "sample_id": "mm-safetybench:02-HateSpeech:4:SD_TYPO", "latency_ms": 284.4, "peak_vram_gib": 7.639}
{"written": 33, "sample_id": "mm-safetybench:02-HateSpeech:4:TYPO", "latency_ms": 283.2, "peak_vram_gib": 7.638}
{"written": 34, "sample_id": "mm-safetybench:02-HateSpeech:6:SD", "latency_ms": 284.1, "peak_vram_gib": 7.654}
{"written": 35, "sample_id": "mm-safetybench:02-HateSpeech:6:SD_TYPO", "latency_ms": 324.2, "peak_vram_gib": 7.669}
{"written": 36, "sample_id": "mm-safetybench:02-HateSpeech:6:TYPO", "latency_ms": 364.2, "peak_vram_gib": 7.677}
{"written": 37, "sample_id": "mm-safetybench:02-HateSpeech:8:SD", "latency_ms": 288.4, "peak_vram_gib": 7.668}
{"written": 38, "sample_id": "mm-safetybench:02-HateSpeech:8:SD_TYPO", "latency_ms": 305.2, "peak_vram_gib": 7.727}
{"written": 39, "sample_id": "mm-safetybench:02-HateSpeech:8:TYPO", "latency_ms": 314.2, "peak_vram_gib": 7.772}
{"written": 40, "sample_id": "mm-safetybench:02-HateSpeech:19:SD", "latency_ms": 283.4, "peak_vram_gib": 7.652}
{"written": 41, "sample_id": "mm-safetybench:02-HateSpeech:19:SD_TYPO", "latency_ms": 306.1, "peak_vram_gib": 7.741}
{"written": 42, "sample_id": "mm-safetybench:02-HateSpeech:19:TYPO", "latency_ms": 385.5, "peak_vram_gib": 7.746}
{"written": 43, "sample_id": "mm-safetybench:02-HateSpeech:57:SD", "latency_ms": 281.0, "peak_vram_gib": 7.639}
{"written": 44, "sample_id": "mm-safetybench:02-HateSpeech:57:SD_TYPO", "latency_ms": 285.9, "peak_vram_gib": 7.626}
{"written": 45, "sample_id": "mm-safetybench:02-HateSpeech:57:TYPO", "latency_ms": 283.3, "peak_vram_gib": 7.626}
{"written": 46, "sample_id": "mm-safetybench:02-HateSpeech:58:SD", "latency_ms": 299.1, "peak_vram_gib": 7.68}
{"written": 47, "sample_id": "mm-safetybench:02-HateSpeech:58:SD_TYPO", "latency_ms": 286.4, "peak_vram_gib": 7.653}
{"written": 48, "sample_id": "mm-safetybench:02-HateSpeech:58:TYPO", "latency_ms": 281.4, "peak_vram_gib": 7.639}
{"written": 49, "sample_id": "mm-safetybench:02-HateSpeech:67:SD", "latency_ms": 280.1, "peak_vram_gib": 7.631}
{"written": 50, "sample_id": "mm-safetybench:02-HateSpeech:67:SD_TYPO", "latency_ms": 285.5, "peak_vram_gib": 7.668}
{"written": 51, "sample_id": "mm-safetybench:02-HateSpeech:67:TYPO", "latency_ms": 284.7, "peak_vram_gib": 7.631}
{"written": 52, "sample_id": "mm-safetybench:02-HateSpeech:80:SD", "latency_ms": 287.2, "peak_vram_gib": 7.676}
{"written": 53, "sample_id": "mm-safetybench:02-HateSpeech:80:SD_TYPO", "latency_ms": 285.9, "peak_vram_gib": 7.65}
{"written": 54, "sample_id": "mm-safetybench:02-HateSpeech:80:TYPO", "latency_ms": 282.4, "peak_vram_gib": 7.64}
{"written": 55, "sample_id": "mm-safetybench:02-HateSpeech:82:SD", "latency_ms": 285.3, "peak_vram_gib": 7.663}
{"written": 56, "sample_id": "mm-safetybench:02-HateSpeech:82:SD_TYPO", "latency_ms": 288.2, "peak_vram_gib": 7.701}
{"written": 57, "sample_id": "mm-safetybench:02-HateSpeech:82:TYPO", "latency_ms": 288.0, "peak_vram_gib": 7.653}
{"written": 58, "sample_id": "mm-safetybench:02-HateSpeech:87:SD", "latency_ms": 307.8, "peak_vram_gib": 7.758}
{"written": 59, "sample_id": "mm-safetybench:02-HateSpeech:87:SD_TYPO", "latency_ms": 311.1, "peak_vram_gib": 7.757}
{"written": 60, "sample_id": "mm-safetybench:02-HateSpeech:87:TYPO", "latency_ms": 315.5, "peak_vram_gib": 7.775}
{"written": 61, "sample_id": "mm-safetybench:02-HateSpeech:108:SD", "latency_ms": 282.2, "peak_vram_gib": 7.631}
{"written": 62, "sample_id": "mm-safetybench:02-HateSpeech:108:SD_TYPO", "latency_ms": 281.8, "peak_vram_gib": 7.637}
{"written": 63, "sample_id": "mm-safetybench:02-HateSpeech:108:TYPO", "latency_ms": 285.0, "peak_vram_gib": 7.656}
{"written": 64, "sample_id": "mm-safetybench:02-HateSpeech:112:SD", "latency_ms": 285.8, "peak_vram_gib": 7.649}
{"written": 65, "sample_id": "mm-safetybench:02-HateSpeech:112:SD_TYPO", "latency_ms": 309.9, "peak_vram_gib": 7.748}
{"written": 66, "sample_id": "mm-safetybench:02-HateSpeech:112:TYPO", "latency_ms": 307.1, "peak_vram_gib": 7.745}
{"written": 67, "sample_id": "mm-safetybench:02-HateSpeech:118:SD", "latency_ms": 368.8, "peak_vram_gib": 8.021}
{"written": 68, "sample_id": "mm-safetybench:02-HateSpeech:118:SD_TYPO", "latency_ms": 369.3, "peak_vram_gib": 8.022}
{"written": 69, "sample_id": "mm-safetybench:02-HateSpeech:118:TYPO", "latency_ms": 307.8, "peak_vram_gib": 7.74}
{"written": 70, "sample_id": "mm-safetybench:02-HateSpeech:121:SD", "latency_ms": 280.5, "peak_vram_gib": 7.63}
{"written": 71, "sample_id": "mm-safetybench:02-HateSpeech:121:SD_TYPO", "latency_ms": 281.1, "peak_vram_gib": 7.637}
{"written": 72, "sample_id": "mm-safetybench:02-HateSpeech:121:TYPO", "latency_ms": 283.8, "peak_vram_gib": 7.648}
{"written": 73, "sample_id": "mm-safetybench:02-HateSpeech:138:SD", "latency_ms": 346.1, "peak_vram_gib": 7.796}
{"written": 74, "sample_id": "mm-safetybench:02-HateSpeech:138:SD_TYPO", "latency_ms": 440.7, "peak_vram_gib": 7.965}
{"written": 75, "sample_id": "mm-safetybench:02-HateSpeech:138:TYPO", "latency_ms": 415.8, "peak_vram_gib": 7.891}
{"written": 76, "sample_id": "mm-safetybench:02-HateSpeech:143:SD", "latency_ms": 291.5, "peak_vram_gib": 7.65}
{"written": 77, "sample_id": "mm-safetybench:02-HateSpeech:143:SD_TYPO", "latency_ms": 288.1, "peak_vram_gib": 7.679}
{"written": 78, "sample_id": "mm-safetybench:02-HateSpeech:143:TYPO", "latency_ms": 295.6, "peak_vram_gib": 7.688}
{"written": 79, "sample_id": "mm-safetybench:03-Malware_Generation:2:SD", "latency_ms": 315.7, "peak_vram_gib": 7.751}
{"written": 80, "sample_id": "mm-safetybench:03-Malware_Generation:2:SD_TYPO", "latency_ms": 286.3, "peak_vram_gib": 7.667}
{"written": 81, "sample_id": "mm-safetybench:03-Malware_Generation:2:TYPO", "latency_ms": 282.7, "peak_vram_gib": 7.637}
{"written": 82, "sample_id": "mm-safetybench:03-Malware_Generation:3:SD", "latency_ms": 305.7, "peak_vram_gib": 7.728}
{"written": 83, "sample_id": "mm-safetybench:03-Malware_Generation:3:SD_TYPO", "latency_ms": 433.3, "peak_vram_gib": 7.775}
{"written": 84, "sample_id": "mm-safetybench:03-Malware_Generation:3:TYPO", "latency_ms": 308.8, "peak_vram_gib": 7.746}
{"written": 85, "sample_id": "mm-safetybench:03-Malware_Generation:13:SD", "latency_ms": 287.5, "peak_vram_gib": 7.652}
{"written": 86, "sample_id": "mm-safetybench:03-Malware_Generation:13:SD_TYPO", "latency_ms": 297.3, "peak_vram_gib": 7.679}
{"written": 87, "sample_id": "mm-safetybench:03-Malware_Generation:13:TYPO", "latency_ms": 282.6, "peak_vram_gib": 7.637}
{"written": 88, "sample_id": "mm-safetybench:03-Malware_Generation:19:SD", "latency_ms": 310.4, "peak_vram_gib": 7.771}
{"written": 89, "sample_id": "mm-safetybench:03-Malware_Generation:19:SD_TYPO", "latency_ms": 337.6, "peak_vram_gib": 7.868}
{"written": 90, "sample_id": "mm-safetybench:03-Malware_Generation:19:TYPO", "latency_ms": 280.4, "peak_vram_gib": 7.644}
{"written": 91, "sample_id": "mm-safetybench:03-Malware_Generation:38:SD", "latency_ms": 285.2, "peak_vram_gib": 7.654}
{"written": 92, "sample_id": "mm-safetybench:03-Malware_Generation:38:SD_TYPO", "latency_ms": 307.6, "peak_vram_gib": 7.728}
{"written": 93, "sample_id": "mm-safetybench:03-Malware_Generation:38:TYPO", "latency_ms": 305.8, "peak_vram_gib": 7.718}
{"written": 94, "sample_id": "mm-safetybench:04-Physical_Harm:7:SD", "latency_ms": 309.4, "peak_vram_gib": 7.751}
{"written": 95, "sample_id": "mm-safetybench:04-Physical_Harm:7:SD_TYPO", "latency_ms": 392.0, "peak_vram_gib": 7.836}
{"written": 96, "sample_id": "mm-safetybench:04-Physical_Harm:7:TYPO", "latency_ms": 394.4, "peak_vram_gib": 7.865}
{"written": 97, "sample_id": "mm-safetybench:04-Physical_Harm:8:SD", "latency_ms": 317.4, "peak_vram_gib": 7.779}
{"written": 98, "sample_id": "mm-safetybench:04-Physical_Harm:8:SD_TYPO", "latency_ms": 289.8, "peak_vram_gib": 7.689}
{"written": 99, "sample_id": "mm-safetybench:04-Physical_Harm:8:TYPO", "latency_ms": 324.8, "peak_vram_gib": 7.841}
{"written": 100, "sample_id": "mm-safetybench:04-Physical_Harm:14:SD", "latency_ms": 305.5, "peak_vram_gib": 7.73}
{"written": 101, "sample_id": "mm-safetybench:04-Physical_Harm:14:SD_TYPO", "latency_ms": 308.0, "peak_vram_gib": 7.724}
{"written": 102, "sample_id": "mm-safetybench:04-Physical_Harm:14:TYPO", "latency_ms": 279.3, "peak_vram_gib": 7.639}
{"written": 103, "sample_id": "mm-safetybench:04-Physical_Harm:16:SD", "latency_ms": 306.4, "peak_vram_gib": 7.748}
{"written": 104, "sample_id": "mm-safetybench:04-Physical_Harm:16:SD_TYPO", "latency_ms": 284.2, "peak_vram_gib": 7.644}
{"written": 105, "sample_id": "mm-safetybench:04-Physical_Harm:16:TYPO", "latency_ms": 292.5, "peak_vram_gib": 7.664}
{"written": 106, "sample_id": "mm-safetybench:04-Physical_Harm:25:SD", "latency_ms": 423.3, "peak_vram_gib": 7.744}
{"written": 107, "sample_id": "mm-safetybench:04-Physical_Harm:25:SD_TYPO", "latency_ms": 444.5, "peak_vram_gib": 7.804}
{"written": 108, "sample_id": "mm-safetybench:04-Physical_Harm:25:TYPO", "latency_ms": 322.1, "peak_vram_gib": 7.804}
{"written": 109, "sample_id": "mm-safetybench:04-Physical_Harm:37:SD", "latency_ms": 325.1, "peak_vram_gib": 7.819}
{"written": 110, "sample_id": "mm-safetybench:04-Physical_Harm:37:SD_TYPO", "latency_ms": 381.1, "peak_vram_gib": 7.8}
{"written": 111, "sample_id": "mm-safetybench:04-Physical_Harm:37:TYPO", "latency_ms": 381.1, "peak_vram_gib": 7.809}
{"written": 112, "sample_id": "mm-safetybench:04-Physical_Harm:44:SD", "latency_ms": 319.9, "peak_vram_gib": 7.787}
{"written": 113, "sample_id": "mm-safetybench:04-Physical_Harm:44:SD_TYPO", "latency_ms": 280.5, "peak_vram_gib": 7.638}
{"written": 114, "sample_id": "mm-safetybench:04-Physical_Harm:44:TYPO", "latency_ms": 284.3, "peak_vram_gib": 7.654}
{"written": 115, "sample_id": "mm-safetybench:04-Physical_Harm:52:SD", "latency_ms": 280.5, "peak_vram_gib": 7.639}
{"written": 116, "sample_id": "mm-safetybench:04-Physical_Harm:52:SD_TYPO", "latency_ms": 280.8, "peak_vram_gib": 7.631}
{"written": 117, "sample_id": "mm-safetybench:04-Physical_Harm:52:TYPO", "latency_ms": 281.5, "peak_vram_gib": 7.631}
{"written": 118, "sample_id": "mm-safetybench:04-Physical_Harm:66:SD", "latency_ms": 279.9, "peak_vram_gib": 7.64}
{"written": 119, "sample_id": "mm-safetybench:04-Physical_Harm:66:SD_TYPO", "latency_ms": 284.8, "peak_vram_gib": 7.653}
{"written": 120, "sample_id": "mm-safetybench:04-Physical_Harm:66:TYPO", "latency_ms": 283.9, "peak_vram_gib": 7.639}
{"written": 121, "sample_id": "mm-safetybench:04-Physical_Harm:99:SD", "latency_ms": 279.6, "peak_vram_gib": 7.639}
{"written": 122, "sample_id": "mm-safetybench:04-Physical_Harm:99:SD_TYPO", "latency_ms": 281.3, "peak_vram_gib": 7.631}
{"written": 123, "sample_id": "mm-safetybench:04-Physical_Harm:99:TYPO", "latency_ms": 281.3, "peak_vram_gib": 7.631}
{"written": 124, "sample_id": "mm-safetybench:04-Physical_Harm:100:SD", "latency_ms": 306.9, "peak_vram_gib": 7.732}
{"written": 125, "sample_id": "mm-safetybench:04-Physical_Harm:100:SD_TYPO", "latency_ms": 387.5, "peak_vram_gib": 7.768}
